item_id,annotator_id,project_id,label,confidence,duration_ms
rev-001,1,1,positive,0.95,3200
rev-001,2,1,positive,0.90,3800
rev-001,3,1,positive,0.92,3100
rev-002,1,1,negative,0.90,2800
rev-002,2,1,negative,0.85,3200
rev-002,3,1,negative,0.88,2900
rev-003,1,1,neutral,0.85,4100
rev-003,2,1,positive,0.60,5200
rev-003,3,1,neutral,0.80,4300
rev-004,1,1,positive,0.92,3500
rev-004,2,1,positive,0.88,3600
rev-004,3,1,positive,0.91,3300
rev-005,1,1,negative,0.88,3000
rev-005,2,1,neutral,0.55,4800
rev-005,3,1,negative,0.82,3400
rev-006,1,1,neutral,0.70,4500
rev-006,2,1,neutral,0.75,4000
rev-006,3,1,positive,0.65,5100
